Day,Hour,Minute,Second,Time +/-,LAT_D,LAT_M,LAT +/-,LONG_D,LONG_M,LONG +/-,Depth (KM),Depth +/-,Mag 1,Mag 2,MAX_INTENSITY,"(District, Region)",REGION NAME,LONG_DEC,LAT_DEC,Year,Month,Count
7,23,04,24.4,0.2,37,27.4,0.5,141,58.9,0.8,21,3,1.8V,,,"(2, 69)",E OFF FUKUSHIMA PREF,141.98166666666665,37.45666666666666,2010,7,6279
9,00,02,23.1,0.0,38,43.7,0.2,141,16.7,0.4,76,1,0.2V,,,"(2, 50)",NORTHERN MIYAGI PREF,141.27833333333334,38.72833333333333,2010,7,6675
2,11,49,14.6,0.1,38,27.4,0.2,141,54.8,0.7,80,1,1.3V,,,"(2, 65)",E OFF MIYAGI PREF,141.91333333333333,38.45666666666666,2010,7,7970
1,22,54,44.6,0.2,37,56.3,0.7,142,15.3,1.3,34,,1.5V,,,"(2, 68)",SE OFF MIYAGI PREF,142.255,37.93833333333333,2010,7,11440
