Day,Hour,Minute,Second,Time +/-,LAT_D,LAT_M,LAT +/-,LONG_D,LONG_M,LONG +/-,Depth (KM),Depth +/-,Mag 1,Mag 2,MAX_INTENSITY,"(District, Region)",REGION NAME
1,00,09,09.6,0.0,33,13.2,0.1,132,21.3,0.1,10,1,0.2V,,,"(6,245)",BUNGO CHANNEL
,00,09,23.5,0.0,38,27.3,0.1,141,10.0,0.2,12,1,0.6V,,,"(2, 50)",NORTHERN MIYAGI PREF
,00,26,55.6,0.1,42,47.6,0.3,143,24.6,0.6,80,1,0.4V,,,"(1,  9)",TOKACHI REGION
,00,29,36.5,0.1,39,33.7,0.3,142,45.2,0.6,28,1,1.0V,,,"(2, 62)",E OFF IWATE PREF
,00,31,12.1,0.1,42,00.7,0.4,139,10.7,0.7,15,1,1.0V,,,"(1, 18)",SW OFF HOKKAIDO
,00,35,15.4,0.0,33,50.3,0.1,133,35.1,0.1,8,1,0.4V,,,"(6,233)",MID KOCHI PREF
,00,38,46.7,0.0,37,03.4,0.1,139,29.4,0.1,9,1,0.3V,,,"(2, 54)",WESTERN FUKUSHIMA PREF
,00,40,13.3,0.0,31,58.2,0.1,130,25.1,0.1,7,0,0.6V,,,"(7,273)",NW KAGOSHIMA PREF
,00,40,18.7,0.0,39,04.8,0.1,140,54.6,0.2,8,1,0.1V,,,"(2, 49)",SOUTHERN IWATE PREF
,00,40,58.8,0.0,33,51.3,0.1,134,12.9,0.1,5,1,0.0V,,,"(6,231)",TOKUSHIMA PREF
,00,48,56.4,0.1,42,51.1,0.5,143,49.7,0.5,76,1,1.0V,,,"(1,  9)",TOKACHI REGION
,01,00,02.6,0.0,35,04.1,0.1,132,38.9,0.1,12,1,1.2V,,,"(6,224)",SHIMANE HIROSHIMA BORDER
,01,03,16.9,0.0,41,36.2,0.1,140,42.2,0.2,14,1,0.3V,,,"(1, 17)",TSUGARU STRAIT REGION
,01,05,47.6,0.3,26,14.0,1.3,128,32.6,1.9,40,5,,,,"(7,294)",NEAR OKINAWAJIMA ISLAND
,01,06,50.3,0.2,28,41.4,0.6,129,34.4,0.9,47,2,1.9v,,,"(7,296)",NEAR AMAMI-OSHIMA ISLAND
,01,13,03.4,0.1,36,25.7,0.3,141,02.6,0.7,40,1,0.5V,,,"(3,111)",E OFF IBARAKI PREF
,01,14,47.0,0.2,42,06.8,1.5,142,27.5,1.0,67,2,0.5V,,,"(1, 30)",S OFF URAKAWA
,01,19,20.2,0.0,37,12.2,0.1,138,50.5,0.1,11,1,0.7V,,,"(4,132)",MID NIIGATA PREF
,01,22,21.1,0.0,34,28.1,0.0,132,26.2,0.0,24,0,0.6V,,,"(6,227)",WESTERN HIROSHIMA PREF
,01,34,18.0,0.1,39,04.9,0.3,140,54.8,0.3,7,1,0.4V,,,"(2, 49)",SOUTHERN IWATE PREF
,01,34,54.1,0.0,36,42.3,0.1,139,19.6,0.1,8,1,0.6V,,,"(3, 83)",TOCHIGI GUNMA BORDER
,01,34,56.7,0.2,30,37.1,1.1,142,18.0,3.3,45,,5.0V,,,"(8,331)",NEAR TORISHIMA IS        NPS
,01,35,20.1,0.0,34,12.4,0.1,135,05.8,0.1,8,1,0.2V,,,"(5,190)",NW WAKAYAMA PREF
,01,35,22.8,0.1,34,49.3,0.2,137,51.6,0.2,19,1,0.2V,,,"(4,158)",SW SHIZUOKA PREF
,01,44,23.0,0.1,43,09.4,0.5,143,38.5,0.7,38,1,1.5V,,,"(1,  9)",TOKACHI REGION
,01,44,30.7,0.2,42,53.2,0.7,139,22.0,1.0,22,4,1.2V,,,"(1, 18)",SW OFF HOKKAIDO
,01,45,49.0,0.2,30,34.3,0.6,131,00.7,1.2,7,1,1.2V,,,"(7,298)",NEAR TANEGASHIMA ISLAND
,01,50,01.0,0.0,35,11.7,0.1,135,57.2,0.1,17,0,0.4V,,,"(5,196)",NW SHIGA PREF
,01,50,54.6,0.0,34,55.2,0.1,137,29.8,0.1,17,1,0.4V,,,"(4,160)",NE AICHI PREF
,01,51,45.6,0.0,34,07.7,0.1,135,21.8,0.1,6,0,0.6V,,,"(5,189)",NE WAKAYAMA PREF
,01,57,09.5,0.0,34,24.8,0.1,135,52.8,0.1,9,1,0.0V,,,"(5,194)",NORTHERN NARA PREF
,02,01,55.2,0.0,36,07.9,0.1,139,04.9,0.1,11,0,0.4V,,,"(3, 90)",WESTERN SAITAMA PREF
,02,03,11.0,0.2,28,14.0,2.1,130,05.2,1.0,48,2,1.2v,,,"(7,296)",NEAR AMAMI-OSHIMA ISLAND
,02,07,15.7,0.2,25,48.9,2.0,130,01.5,0.8,42,,2.6V,,,"(7,295)",NEAR MINAMI-DAITOJIMA IS
,02,11,21.4,0.0,34,59.2,0.1,135,37.3,0.1,6,1,0.1V,,,"(5,184)",KYOTO OSAKA BORDER REG
,02,14,30.1,0.1,38,00.5,0.6,142,14.0,0.8,37,2,1.2V,,,"(2, 68)",SE OFF MIYAGI PREF
,02,14,37.0,0.0,35,11.8,0.0,135,57.1,0.0,16,0,0.5V,,,"(5,196)",NW SHIGA PREF
,02,20,38.8,0.3,26,02.5,1.0,128,40.7,1.3,38,,,,,"(7,294)",NEAR OKINAWAJIMA ISLAND
,02,23,11.1,0.1,28,46.8,0.2,128,37.5,0.7,10,,,,,"(7,285)",NEAR TOKARA ISLANDS
,02,23,45.2,0.1,37,39.8,0.5,141,34.3,1.0,74,2,1.0V,,,"(2, 69)",E OFF FUKUSHIMA PREF
,02,29,04.9,0.1,38,46.1,0.5,142,17.1,1.1,40,4,0.8V,,,"(2, 65)",E OFF MIYAGI PREF
,02,29,57.5,0.3,38,54.3,1.2,141,20.3,2.3,06,2,0.3v,,,"(2, 49)",SOUTHERN IWATE PREF
,02,31,38.0,0.0,35,55.4,0.1,137,36.7,0.1,10,1,0.0V,,,"(4,148)",WESTERN NAGANO PREF
,02,34,23.8,0.0,35,11.7,0.1,135,57.2,0.0,16,0,0.8V,,,"(5,196)",NW SHIGA PREF
,02,41,41.1,0.1,24,49.4,1.1,122,25.9,0.4,3,,2.6v,,,"(7,289)",NW OFF ISHIGAKIJIMA IS
,02,45,11.8,0.2,42,22.3,0.9,142,00.5,0.9,93,2,0.7V,,,"(1, 30)",S OFF URAKAWA
,02,45,40.5,0.2,43,20.9,0.5,144,01.0,0.4,15,2,0.2v,,,"(1,  8)",KUSHIRO REGION
,02,51,42.1,0.2,38,57.5,0.9,140,18.2,1.2,59,2,1.1V,,,"(2, 52)",NORTHERN YAMAGATA PREF
,03,00,13.8,0.1,37,13.9,0.1,136,41.7,0.6,9,1,0.7V,,,"(4,167)",OFF NOTO PENINSULA
,03,01,43.6,0.2,41,20.8,0.2,139,09.3,0.7,12,2,1.3V,,,"(2, 59)",W OFF AOMORI PREF
,03,03,43.7,0.1,41,23.5,0.2,139,08.1,0.4,16,2,2.0V,,,"(2, 59)",W OFF AOMORI PREF
,03,05,16.2,0.0,38,10.5,0.1,139,04.9,0.1,23,1,1.3V,,,"(4,163)",OFF N NIIGATA PREF
,03,06,56.5,0.0,38,22.5,0.2,141,14.6,0.2,8,2,0.7V,,,"(2, 67)",SENDAI BAY REGION
,03,11,43.6,0.2,35,56.5,0.8,141,46.0,1.5,64,,1.8V,,,"(3,112)",FAR E OFF IBARAKI PREF
,03,27,00.1,0.2,41,01.6,0.9,145,54.2,1.3,55,4,2.9V,,,"(8,326)",FAR SE OFF HOKKAIDO
,03,30,24.9,0.1,24,47.0,0.9,125,17.2,0.6,44,1,1.6V,,,"(7,293)",NEAR MIYAKOJIMA ISLAND
,03,33,19.3,0.2,37,18.3,0.5,141,38.7,1.2,46,3,1.2V,,,"(2, 69)",E OFF FUKUSHIMA PREF
,03,33,57.1,0.2,37,20.5,0.6,142,07.4,1.0,25,4,2.7V,,,"(2, 69)",E OFF FUKUSHIMA PREF
,03,36,21.8,0.0,34,55.0,0.1,137,29.5,0.1,17,1,1.3V,,,"(4,160)",NE AICHI PREF
,03,37,12.6,0.0,32,41.0,0.1,132,36.8,0.1,28,0,1.5V,,,"(7,301)",FAR E OFF MIYAZAKI PREF
,03,39,47.1,0.1,45,09.9,0.3,141,50.2,0.6,0,,1.3V,,,"(1,  1)",SOYA REGION
,03,41,54.9,0.0,35,51.2,0.1,137,39.3,0.1,10,1,0.2V,,,"(4,148)",WESTERN NAGANO PREF
,03,42,43.3,0.0,33,39.3,0.1,135,36.3,0.1,24,1,0.5V,,,"(5,192)",SOUTHERN WAKAYAMA PREF
,03,49,42.3,0.2,38,51.1,0.8,143,03.7,0.9,30,,,,,"(2, 64)",FAR E OFF MIYAGI PREF
,03,49,52.3,0.2,28,48.6,0.3,128,36.7,1.1,8,,2.2V,,,"(7,285)",NEAR TOKARA ISLANDS
,03,51,44.1,0.3,42,31.9,1.4,142,13.5,1.6,23,3,0.5V,,,"(1, 12)",HIDAKA REGION
,03,53,49.7,0.4,20,31.5,2.0,121,45.5,0.9,13,,,,,"(8,341)",PHILIPPINE ISL REGION
