Day,Hour,Minute,Second,Time +/-,LAT_D,LAT_M,LAT +/-,LONG_D,LONG_M,LONG +/-,Depth (KM),Depth +/-,Mag 1,Mag 2,MAX_INTENSITY,"(District, Region)",REGION NAME,LONG_DEC,LAT_DEC,Year,Month,Count
5,15,46,29.9,0.0,38,43.2,0.1,141,02.9,0.1,13,1,0.3V,,,"(2, 50)",NORTHERN MIYAGI PREF,141.04833333333335,38.72,2010,5,1715
9,03,44,06.3,0.1,38,51.7,0.3,141,37.0,0.6,69,1,0.2V,,,"(2, 50)",NORTHERN MIYAGI PREF,141.61666666666667,38.861666666666665,2010,5,6975
6,21,35,25.8,0.1,38,04.8,0.4,141,52.3,0.7,42,1,1.0V,,,"(2, 68)",SE OFF MIYAGI PREF,141.87166666666667,38.08,2010,5,9456
