Day,Hour,Minute,Second,Time +/-,LAT_D,LAT_M,LAT +/-,LONG_D,LONG_M,LONG +/-,Depth (KM),Depth +/-,Mag 1,Mag 2,MAX_INTENSITY,"(District, Region)",REGION NAME,LONG_DEC,LAT_DEC,Year,Month,Count
1,11,51,10.3,0.1,39,08.4,0.2,142,22.9,0.5,33,1,1.8V,,,"(2, 62)",E OFF IWATE PREF,142.38166666666666,39.14,2011,6,344
1,12,02,00.3,0.1,39,05.2,0.3,142,22.0,0.6,29,1,1.5V,,,"(2, 62)",E OFF IWATE PREF,142.36666666666667,39.086666666666666,2011,6,351
1,12,06,23.9,0.2,38,54.1,0.4,142,42.6,0.7,22,2,2.8V,,,"(2, 65)",E OFF MIYAGI PREF,142.71,38.901666666666664,2011,6,352
1,12,10,32.9,0.1,38,24.7,0.4,142,07.8,0.6,35,1,1.9V,,,"(2, 65)",E OFF MIYAGI PREF,142.13,38.41166666666667,2011,6,354
1,12,24,07.7,0.0,38,14.1,0.2,141,33.6,0.4,55,1,3.1V,,,"(2, 66)",KINKAZAN REGION,141.56,38.235,2011,6,361
1,12,34,20.2,0.1,38,25.9,0.3,142,08.8,0.4,31,1,2.3V,,,"(2, 65)",E OFF MIYAGI PREF,142.14666666666668,38.431666666666665,2011,6,367
1,12,35,51.0,0.2,38,20.7,0.6,142,10.1,1.2,37,2,2.5V,,,"(2, 65)",E OFF MIYAGI PREF,142.16833333333332,38.345,2011,6,369
1,12,36,43.7,0.1,38,18.9,0.3,141,58.0,0.6,45,1,2.5V,,,"(2, 65)",E OFF MIYAGI PREF,141.96666666666667,38.315,2011,6,370
1,12,51,37.8,0.1,37,26.9,0.3,141,29.8,0.8,38,2,3.2V,,,"(2, 69)",E OFF FUKUSHIMA PREF,141.49666666666667,37.44833333333333,2011,6,378
1,12,57,18.5,0.1,39,00.5,0.4,142,18.5,0.8,31,2,2.2V,,,"(2, 62)",E OFF IWATE PREF,142.30833333333334,39.00833333333333,2011,6,379
1,13,06,11.9,0.1,38,51.7,0.4,142,15.2,0.7,40,1,2.2V,,,"(2, 65)",E OFF MIYAGI PREF,142.25333333333333,38.861666666666665,2011,6,385
1,13,20,01.5,0.1,37,27.2,0.3,141,36.3,0.9,39,2,3.1V,,,"(2, 69)",E OFF FUKUSHIMA PREF,141.605,37.45333333333333,2011,6,391
1,13,35,52.8,0.1,38,58.5,0.4,142,23.2,0.7,36,2,1.6V,,,"(2, 65)",E OFF MIYAGI PREF,142.38666666666666,38.975,2011,6,405
1,13,38,54.4,0.1,38,26.9,0.5,142,12.1,0.8,27,3,1.9V,,,"(2, 65)",E OFF MIYAGI PREF,142.20166666666665,38.44833333333333,2011,6,406
1,13,46,54.7,0.1,38,54.4,0.5,142,03.8,0.9,43,2,1.5V,,,"(2, 66)",KINKAZAN REGION,142.06333333333333,38.906666666666666,2011,6,411
1,14,34,17.7,0.1,38,30.7,0.3,142,13.7,0.7,26,2,2.6V,,,"(2, 65)",E OFF MIYAGI PREF,142.22833333333332,38.51166666666666,2011,6,426
1,14,41,45.4,0.2,38,09.3,0.6,142,24.7,1.2,36,3,2.5V,,,"(2, 65)",E OFF MIYAGI PREF,142.41166666666666,38.155,2011,6,430
1,14,42,48.3,0.1,38,57.3,0.4,142,22.2,0.7,33,2,2.5V,,,"(2, 65)",E OFF MIYAGI PREF,142.37,38.955,2011,6,431
1,14,44,43.9,0.1,38,05.9,0.7,144,15.0,0.8,22,,3.9V,,,"(8,327)",FAR E OFF NORTH HONSHU,144.25,38.098333333333336,2011,6,433
1,14,56,48.0,0.1,38,39.6,0.2,142,10.3,0.5,38,1,2.8V,,,"(2, 65)",E OFF MIYAGI PREF,142.17166666666665,38.66,2011,6,439
1,15,37,20.7,0.1,39,03.0,0.3,142,23.3,0.7,29,2,2.3V,,,"(2, 62)",E OFF IWATE PREF,142.38833333333332,39.05,2011,6,457
1,16,24,03.6,0.1,38,51.1,0.4,142,26.0,0.9,33,2,3.1V,,,"(2, 65)",E OFF MIYAGI PREF,142.43333333333334,38.85166666666667,2011,6,471
1,17,04,10.3,0.1,38,22.6,0.4,142,10.8,0.8,34,1,2.9V,,,"(2, 65)",E OFF MIYAGI PREF,142.18,38.376666666666665,2011,6,491
1,17,21,52.9,0.1,39,07.4,0.3,142,21.2,0.6,35,1,3.4V,,,"(2, 62)",E OFF IWATE PREF,142.35333333333332,39.123333333333335,2011,6,495
1,18,23,40.2,0.3,37,45.9,1.1,142,57.5,1.9,35,,2.7V,,,"(2, 70)",FAR E OFF FUKUSHIMA PREF,142.95833333333334,37.765,2011,6,518
1,18,44,58.1,0.2,38,08.5,0.5,142,24.1,0.9,35,2,3.0V,,,"(2, 65)",E OFF MIYAGI PREF,142.40166666666667,38.141666666666666,2011,6,525
1,19,34,00.4,0.1,38,02.2,0.3,141,42.6,0.5,48,1,3.4V,,,"(2, 68)",SE OFF MIYAGI PREF,141.71,38.03666666666667,2011,6,538
1,19,47,58.5,0.1,39,09.2,0.3,142,24.9,0.6,30,1,2.8V,,,"(2, 62)",E OFF IWATE PREF,142.415,39.153333333333336,2011,6,542
1,19,52,10.7,0.1,39,03.4,0.3,142,22.8,0.7,31,1,3.2V,,,"(2, 62)",E OFF IWATE PREF,142.38,39.056666666666665,2011,6,546
1,20,33,36.9,0.1,38,56.0,0.4,142,24.4,0.8,36,2,4.0V,3.8d,1,"(2, 65)",E OFF MIYAGI PREF,142.40666666666667,38.93333333333333,2011,6,564
1,21,59,18.6,0.1,38,47.9,0.4,142,24.3,0.9,34,2,3.7V,,,"(2, 65)",E OFF MIYAGI PREF,142.405,38.79833333333333,2011,6,598
1,22,39,47.0,0.1,38,08.9,0.2,141,46.3,0.5,54,1,4.0V,,1,"(2, 65)",E OFF MIYAGI PREF,141.77166666666668,38.14833333333333,2011,6,612
1,23,36,40.0,0.1,38,17.6,0.3,141,54.0,0.6,47,1,3.8V,,1,"(2, 65)",E OFF MIYAGI PREF,141.9,38.29333333333334,2011,6,634
2,00,27,10.0,0.1,38,24.4,0.3,141,47.3,0.5,56,1,1.5V,,,"(2, 66)",KINKAZAN REGION,141.78833333333333,38.406666666666666,2011,6,660
2,00,29,49.5,0.1,38,21.5,0.4,141,52.3,0.6,58,1,1.3V,,,"(2, 65)",E OFF MIYAGI PREF,141.87166666666667,38.358333333333334,2011,6,661
2,00,38,42.4,0.1,38,19.2,0.4,142,06.8,0.6,34,2,1.5V,,,"(2, 65)",E OFF MIYAGI PREF,142.11333333333334,38.32,2011,6,667
2,00,39,30.6,0.1,38,23.3,0.4,142,05.6,0.6,31,2,1.5V,,,"(2, 65)",E OFF MIYAGI PREF,142.09333333333333,38.388333333333335,2011,6,668
2,00,53,29.3,0.1,37,24.7,0.4,141,39.1,1.0,39,3,2.4V,,,"(2, 69)",E OFF FUKUSHIMA PREF,141.65166666666667,37.41166666666667,2011,6,679
