     00 52 03.8 0.0  43 16.4 0.2  143 59.3 0.3    9 2  0.3V        (1,  8) KUSHIRO REGION          
     00 53 34.1 0.0  36 48.0 0.0  140 33.7 0.1    5 0  0.6V        (3, 86) NORTHERN IBARAKI PREF   
     00 54 04.8 0.1  36 21.2 0.4  141 02.2 0.9   41 2  1.7V        (3,111) E OFF IBARAKI PREF      
     00 55 22.9 0.0  36 47.6 0.0  140 33.7 0.0    7 0  0.8V        (3, 86) NORTHERN IBARAKI PREF   
     00 55 58.6 0.1  35 56.1 0.7  140 59.4 1.1   41 2  1.0V        (3,111) E OFF IBARAKI PREF      
     00 58 07.9 0.0  38 31.5 0.1  139 59.1 0.2    6 2  2.1V        (2, 52) NORTHERN YAMAGATA PREF  
     00 58 22.6 0.0  36 56.5 0.0  140 43.3 0.1    7 0  0.7V        (2, 56) EASTERN FUKUSHIMA PREF  
     00 58 30.3 0.1  38 21.2 0.4  142 07.0 0.5   30 1  2.3V        (2, 65) E OFF MIYAGI PREF       
     00 59 06.8 0.0  43 16.4 0.2  143 59.3 0.2   11 1  1.2V        (1,  8) KUSHIRO REGION          
     01 00 19.5 0.0  36 45.5 0.0  140 36.4 0.1    6 0  1.3V        (3, 86) NORTHERN IBARAKI PREF   
     01 00 24.5 0.1  37 23.9 0.4  141 26.1 1.0   31 2  2.6V        (2, 69) E OFF FUKUSHIMA PREF    
     01 02 46.6 0.4  35 14.5 1.6  140 10.8 1.9  102 3  1.7V        (3, 95) SOUTHERN BOSO PENINSULA 
     01 03 08.1 0.0  36 56.9 0.0  140 42.3 0.1    8 0  1.2V        (2, 56) EASTERN FUKUSHIMA PREF  
     01 03 44.6 0.0  32 46.9 0.1  130 39.1 0.2   10 1  0.6V        (7,269) NW KUMAMOTO PREF        
     01 03 59.2 0.0  37 03.7 0.0  140 30.0 0.1    9 1  1.4V        (2, 55) MID FUKUSHIMA PREF      
     01 04 50.7 0.0  37 00.9 0.0  140 46.9 0.2    8 1  1.2V        (2, 56) EASTERN FUKUSHIMA PREF  
     01 05 12.5 0.0  33 34.1 0.1  132 19.8 0.1   44 0  1.6V        (6,244) IYONADA SETONAIKAI      
     01 05 18.7 0.0  37 00.9 0.0  140 36.5 0.1   10 1  1.2V        (2, 56) EASTERN FUKUSHIMA PREF  
     01 06 54.8 0.1  39 09.2 0.2  142 26.5 0.5   31 1  2.2V        (2, 62) E OFF IWATE PREF        
     01 07 30.2 0.0  26 44.9 0.2  128 03.3 0.5    6 5  1.4v        (7,294) NEAR OKINAWAJIMA ISLAND 
     01 07 58.1 0.1  39 25.7 0.3  142 35.0 0.5   27 1  1.6V        (2, 62) E OFF IWATE PREF        
     01 08 11.3 0.0  36 50.0 0.0  140 31.3 0.1    6 1  0.7V        (3, 86) NORTHERN IBARAKI PREF   
     01 09 05.9 0.2  29 46.2 0.7  131 40.0 0.7   44                (7,296) NEAR AMAMI-OSHIMA ISLAND
     01 13 40.1 0.0  36 51.6 0.0  140 35.1 0.1    9 0  1.2V        (3, 86) NORTHERN IBARAKI PREF   
     01 15 02.4 0.0  37 44.7 0.1  140 00.9 0.1    9 2  1.2V        (2, 55) MID FUKUSHIMA PREF      
     01 17 18.1 0.2  37 23.5 0.4  141 45.3 1.0   42 3  3.6V        (2, 69) E OFF FUKUSHIMA PREF    
     01 18 18.8 0.0  31 35.6 0.2  130 43.2 0.2    5 1  1.7V        (7,274) NEAR KAGOSHIMA CITY     
     01 21 26.7 0.2  37 05.5 0.7  142 22.5 1.0   10 3  2.8V        (2, 69) E OFF FUKUSHIMA PREF    
     01 23 06.9 0.3  36 54.2 0.8  142 15.4 1.4    8 4  3.1V        (2, 69) E OFF FUKUSHIMA PREF    
     01 23 22.6 0.0  36 42.0 0.0  140 37.3 0.1    6 0  1.0V        (3, 86) NORTHERN IBARAKI PREF   
     01 24 51.1 0.0  37 43.3 0.1  139 55.7 0.1    8 1  1.4V        (2, 54) WESTERN FUKUSHIMA PREF  
     01 26 02.2 0.0  37 01.5 0.1  140 40.6 0.2    7 2  1.7V        (2, 56) EASTERN FUKUSHIMA PREF  
     01 27 10.4 0.0  36 48.9 0.1  140 31.2 0.2    7 1  2.2V        (3, 86) NORTHERN IBARAKI PREF   
     01 27 42.2 0.0  36 43.3 0.0  140 34.8 0.1    8 0  1.0V        (3, 86) NORTHERN IBARAKI PREF   
     01 28 08.3 0.2  37 00.4 0.6  141 32.8 1.7   50 3  3.1V        (2, 69) E OFF FUKUSHIMA PREF    
     01 28 37.0 0.0  36 50.5 0.2  138 32.9 0.2    6 2  0.2V        (4,144) NORTHERN NAGANO PREF    
     01 29 39.4 0.0  36 59.3 0.0  140 38.1 0.1    9 1  1.4V        (2, 56) EASTERN FUKUSHIMA PREF  
