Day,Hour,Minute,Second,Time +/-,LAT_D,LAT_M,LAT +/-,LONG_D,LONG_M,LONG +/-,Depth (KM),Depth +/-,Mag 1,Mag 2,MAX_INTENSITY,"(District, Region)",REGION NAME,LONG_DEC,LAT_DEC,Year,Month,Count
1,13,57,01.5,0.2,38,13.3,0.6,142,32.6,1.0,32,3,2.8V,,,"(2, 65)",E OFF MIYAGI PREF,142.54333333333332,38.221666666666664,2010,1,149
1,13,57,01.5,0.2,38,13.3,0.6,142,32.6,1.0,32,3,2.8V,,,"(2, 65)",E OFF MIYAGI PREF,142.54333333333332,38.221666666666664,2010,1,149
5,13,58,04.8,0.1,38,55.5,0.4,142,27.7,0.8,38,3,1.0V,,,"(2, 65)",E OFF MIYAGI PREF,142.46166666666667,38.925,2010,1,4633
5,13,58,04.8,0.1,38,55.5,0.4,142,27.7,0.8,38,3,1.0V,,,"(2, 65)",E OFF MIYAGI PREF,142.46166666666667,38.925,2010,1,4633
2,08,43,06.3,0.1,38,38.3,0.3,142,08.2,0.9,27,3,1.2V,,,"(2, 65)",E OFF MIYAGI PREF,142.13666666666666,38.638333333333335,2010,1,6912
2,08,43,06.3,0.1,38,38.3,0.3,142,08.2,0.9,27,3,1.2V,,,"(2, 65)",E OFF MIYAGI PREF,142.13666666666666,38.638333333333335,2010,1,6912
5,22,28,58.4,0.1,38,56.3,0.5,141,24.3,1.1,07,1,0.8V,,,"(2, 49)",SOUTHERN IWATE PREF,141.405,38.93833333333333,2010,1,8017
5,22,28,58.4,0.1,38,56.3,0.5,141,24.3,1.1,07,1,0.8V,,,"(2, 49)",SOUTHERN IWATE PREF,141.405,38.93833333333333,2010,1,8017
