Day,Hour,Minute,Second,Time +/-,LAT_D,LAT_M,LAT +/-,LONG_D,LONG_M,LONG +/-,Depth (KM),Depth +/-,Mag 1,Mag 2,MAX_INTENSITY,"(District, Region)",REGION NAME,LONG_DEC,LAT_DEC,Year,Month,Count
5,12,29,53.3,0.1,38,34.9,0.3,143,01.9,0.6,33,,1.7V,,,"(2, 64)",FAR E OFF MIYAGI PREF,143.03166666666667,38.58166666666666,2010,6,1611
2,04,43,23.3,0.1,38,57.0,0.3,141,43.7,0.6,61,1,0.2V,,,"(2, 50)",NORTHERN MIYAGI PREF,141.72833333333332,38.95,2010,6,7769
4,18,16,26.1,0.1,38,36.3,0.5,142,51.3,0.7,32,,1.3V,,,"(2, 64)",FAR E OFF MIYAGI PREF,142.855,38.605,2010,6,8626
