Day,Hour,Minute,Second,Time +/-,LAT_D,LAT_M,LAT +/-,LONG_D,LONG_M,LONG +/-,Depth (KM),Depth +/-,Mag 1,Mag 2,MAX_INTENSITY,"(District, Region)",REGION NAME,LONG_DEC,LAT_DEC,Year,Month,Count
6,08,07,51.9,0.1,38,22.0,0.4,142,37.7,0.4,27,3,1.6V,,,"(2, 65)",E OFF MIYAGI PREF,142.62833333333333,38.36666666666667,2010,8,6571
8,22,40,56.0,0.1,39,10.5,0.6,143,18.5,0.8,26,,1.4V,,,"(2, 63)",FAR E OFF SANRIKU,143.30833333333334,39.175,2010,8,7512
1,20,47,21.6,0.0,39,00.8,0.2,141,49.3,0.4,63,1,0.9V,,,"(2, 49)",SOUTHERN IWATE PREF,141.82166666666666,39.013333333333335,2010,8,12384
