Day,Hour,Minute,Second,Time +/-,LAT_D,LAT_M,LAT +/-,LONG_D,LONG_M,LONG +/-,Depth (KM),Depth +/-,Mag 1,Mag 2,MAX_INTENSITY,"(District, Region)",REGION NAME,LONG_DEC,LAT_DEC,Year,Month,Count
1,00,02,31.3,0.1,37,31.1,0.5,141,33.4,0.9,39,2,1.0V,,,"(2, 69)",E OFF FUKUSHIMA PREF,141.55666666666667,37.51833333333333,2010,2,1
1,00,43,41.4,0.0,38,12.2,0.1,141,09.0,0.1,10,1,1.2V,,,"(2, 67)",SENDAI BAY REGION,141.15,38.20333333333333,2010,2,14
1,01,29,47.1,0.2,37,31.3,0.3,142,12.0,0.9,26,4,1.6V,,,"(2, 69)",E OFF FUKUSHIMA PREF,142.2,37.52166666666667,2010,2,24
1,02,28,35.5,0.0,38,50.3,0.2,141,39.2,0.4,66,1,0.8V,,,"(2, 50)",NORTHERN MIYAGI PREF,141.65333333333334,38.83833333333333,2010,2,39
1,02,46,28.0,0.1,38,52.5,0.3,141,17.0,0.6,15,1,1.2V,,,"(2, 49)",SOUTHERN IWATE PREF,141.28333333333333,38.875,2010,2,45
1,03,08,08.5,0.1,37,47.9,0.5,142,02.2,0.9,41,2,1.3V,,,"(2, 68)",SE OFF MIYAGI PREF,142.03666666666666,37.79833333333333,2010,2,50
1,04,55,55.8,0.1,38,53.1,0.5,141,31.9,1.0,75,1,0.3v,,,"(2, 50)",NORTHERN MIYAGI PREF,141.53166666666667,38.885,2010,2,72
1,06,10,09.1,0.1,37,26.4,0.4,141,53.0,0.9,37,3,2.5V,,,"(2, 69)",E OFF FUKUSHIMA PREF,141.88333333333333,37.44,2010,2,92
1,08,19,21.2,0.1,37,46.0,0.5,141,28.0,0.7,79,1,0.8V,,,"(2, 69)",E OFF FUKUSHIMA PREF,141.46666666666667,37.766666666666666,2010,2,121
1,08,58,52.5,0.0,38,24.2,0.2,141,09.1,0.3,8,2,0.2V,,,"(2, 50)",NORTHERN MIYAGI PREF,141.15166666666667,38.403333333333336,2010,2,131
1,09,01,30.6,0.0,38,31.2,0.1,141,03.8,0.1,15,1,0.7V,,,"(2, 50)",NORTHERN MIYAGI PREF,141.06333333333333,38.52,2010,2,132
1,10,45,49.2,0.1,37,51.1,0.2,141,50.0,0.5,44,1,3.1V,,,"(2, 68)",SE OFF MIYAGI PREF,141.83333333333334,37.85166666666667,2010,2,150
1,10,56,33.6,0.1,38,25.6,0.3,142,32.6,0.5,28,2,2.3V,,,"(2, 65)",E OFF MIYAGI PREF,142.54333333333332,38.42666666666667,2010,2,153
1,17,14,55.9,0.0,38,31.2,0.1,141,04.0,0.1,14,1,0.3V,,,"(2, 50)",NORTHERN MIYAGI PREF,141.06666666666666,38.52,2010,2,232
1,19,05,03.0,0.0,38,31.6,0.1,141,03.9,0.1,15,1,0.4V,,,"(2, 50)",NORTHERN MIYAGI PREF,141.065,38.526666666666664,2010,2,256
1,19,33,38.4,0.1,38,05.0,0.4,142,19.1,0.6,35,1,1.5V,,,"(2, 65)",E OFF MIYAGI PREF,142.31833333333333,38.083333333333336,2010,2,265
1,20,04,14.4,0.1,38,18.4,0.3,141,31.7,0.6,58,1,0.9V,,,"(2, 66)",KINKAZAN REGION,141.52833333333334,38.306666666666665,2010,2,273
1,20,41,32.3,0.0,38,24.4,0.1,141,14.3,0.2,10,1,0.9V,,,"(2, 50)",NORTHERN MIYAGI PREF,141.23833333333334,38.406666666666666,2010,2,290
1,21,05,00.7,0.2,37,54.3,1.3,142,47.9,0.8,17,3,1.8V,,,"(2, 68)",SE OFF MIYAGI PREF,142.79833333333335,37.905,2010,2,296
1,21,47,36.0,0.1,37,37.6,0.3,141,28.8,0.9,75,1,0.9V,,,"(2, 69)",E OFF FUKUSHIMA PREF,141.48,37.626666666666665,2010,2,307
2,00,40,29.9,0.1,38,45.8,0.6,144,04.0,0.7,41,,2.4V,,,"(2, 63)",FAR E OFF SANRIKU,144.06666666666666,38.763333333333335,2010,2,350
