Day,Hour,Minute,Second,Time +/-,LAT_D,LAT_M,LAT +/-,LONG_D,LONG_M,LONG +/-,Depth (KM),Depth +/-,Mag 1,Mag 2,MAX_INTENSITY,"(District, Region)",REGION NAME,LONG_DEC,LAT_DEC,Year,Month,Count
1,01,58,58.8,0.1,38,38.8,0.2,141,21.9,0.4,73,1,0.6V,,,"(2, 50)",NORTHERN MIYAGI PREF,141.365,38.64666666666667,2010,1,34
4,00,49,49.1,0.2,38,14.7,0.6,142,19.2,1.1,36,3,0.9V,,,"(2, 65)",E OFF MIYAGI PREF,142.32,38.245,2010,1,1221
7,02,21,29.8,0.1,38,29.2,0.2,142,00.3,0.6,35,1,1.3V,,,"(2, 65)",E OFF MIYAGI PREF,142.005,38.486666666666665,2010,1,2221
7,06,52,03.9,0.1,37,32.0,0.4,141,33.1,0.9,44,2,1.1V,,,"(2, 69)",E OFF FUKUSHIMA PREF,141.55166666666668,37.53333333333333,2010,1,2271
9,22,11,15.6,0.1,38,48.3,0.7,144,03.7,0.7,2,,2.3v,,,"(2, 63)",FAR E OFF SANRIKU,144.06166666666667,38.805,2010,1,9791
