Day,Hour,Minute,Second,Time +/-,LAT_D,LAT_M,LAT +/-,LONG_D,LONG_M,LONG +/-,Depth (KM),Depth +/-,Mag 1,Mag 2,MAX_INTENSITY,"(District, Region)",REGION NAME,LONG_DEC,LAT_DEC,Year,Month,Count
1,00,09,23.5,0.0,38,27.3,0.1,141,10.0,0.2,12,1,0.6V,,,"(2, 50)",NORTHERN MIYAGI PREF,141.16666666666666,38.455,2010,6,1
1,02,14,30.1,0.1,38,00.5,0.6,142,14.0,0.8,37,2,1.2V,,,"(2, 68)",SE OFF MIYAGI PREF,142.23333333333332,38.00833333333333,2010,6,35
1,02,23,45.2,0.1,37,39.8,0.5,141,34.3,1.0,74,2,1.0V,,,"(2, 69)",E OFF FUKUSHIMA PREF,141.57166666666666,37.663333333333334,2010,6,39
1,02,29,04.9,0.1,38,46.1,0.5,142,17.1,1.1,40,4,0.8V,,,"(2, 65)",E OFF MIYAGI PREF,142.285,38.76833333333333,2010,6,40
1,02,29,57.5,0.3,38,54.3,1.2,141,20.3,2.3,06,2,0.3v,,,"(2, 49)",SOUTHERN IWATE PREF,141.33833333333334,38.905,2010,6,41
1,03,06,56.5,0.0,38,22.5,0.2,141,14.6,0.2,8,2,0.7V,,,"(2, 67)",SENDAI BAY REGION,141.24333333333334,38.375,2010,6,52
1,03,49,42.3,0.2,38,51.1,0.8,143,03.7,0.9,30,,,,,"(2, 64)",FAR E OFF MIYAGI PREF,143.06166666666667,38.85166666666667,2010,6,63
1,06,12,24.1,0.3,37,34.0,0.6,141,48.5,1.3,32,,1.1V,,,"(2, 69)",E OFF FUKUSHIMA PREF,141.80833333333334,37.56666666666667,2010,6,98
1,06,37,42.0,0.1,38,47.3,0.2,141,41.2,0.7,68,1,0.4V,,,"(2, 66)",KINKAZAN REGION,141.68666666666667,38.788333333333334,2010,6,102
1,06,43,15.2,0.0,38,49.8,0.2,141,32.7,0.4,83,1,1.7V,,,"(2, 50)",NORTHERN MIYAGI PREF,141.545,38.83,2010,6,103
1,09,59,15.8,0.2,38,53.2,0.4,142,33.6,0.9,32,4,1.2V,,,"(2, 65)",E OFF MIYAGI PREF,142.56,38.88666666666667,2010,6,140
1,13,23,24.5,0.0,38,53.2,0.2,141,39.8,0.5,67,1,1.0V,,,"(2, 50)",NORTHERN MIYAGI PREF,141.66333333333333,38.88666666666667,2010,6,164
1,13,49,22.0,0.1,37,30.7,0.3,141,32.3,0.6,45,2,4.8D,5.1V,3,"(2, 69)",E OFF FUKUSHIMA PREF,141.53833333333333,37.51166666666666,2010,6,171
1,14,06,25.5,0.0,38,23.1,0.2,141,14.0,0.3,78,1,2.2V,,,"(2, 67)",SENDAI BAY REGION,141.23333333333332,38.385,2010,6,173
1,14,31,21.6,0.1,37,29.8,0.3,141,32.7,0.8,45,2,1.6V,,,"(2, 69)",E OFF FUKUSHIMA PREF,141.545,37.49666666666667,2010,6,174
1,15,13,45.7,0.2,38,45.7,0.5,142,15.6,0.9,34,4,0.9V,,,"(2, 65)",E OFF MIYAGI PREF,142.26,38.76166666666667,2010,6,182
1,17,39,31.7,0.2,38,59.9,0.8,142,27.9,0.9,36,4,0.7V,,,"(2, 65)",E OFF MIYAGI PREF,142.465,38.998333333333335,2010,6,215
1,18,29,40.6,0.1,38,49.7,0.4,141,27.5,1.3,80,1,0.2v,,,"(2, 50)",NORTHERN MIYAGI PREF,141.45833333333334,38.82833333333333,2010,6,223
1,18,30,53.4,0.0,38,43.7,0.1,141,09.6,0.1,5,1,0.2V,,,"(2, 50)",NORTHERN MIYAGI PREF,141.16,38.72833333333333,2010,6,224
1,18,45,42.2,0.1,38,34.0,0.3,142,08.7,0.8,32,3,1.1V,,,"(2, 65)",E OFF MIYAGI PREF,142.145,38.56666666666667,2010,6,229
1,19,22,20.3,0.1,39,02.2,0.3,142,18.3,0.7,34,2,0.8V,,,"(2, 62)",E OFF IWATE PREF,142.305,39.03666666666667,2010,6,235
1,20,35,30.8,0.2,37,32.8,0.5,141,49.2,0.9,29,4,1.4V,,,"(2, 69)",E OFF FUKUSHIMA PREF,141.82,37.54666666666667,2010,6,249
1,20,45,53.3,0.3,37,51.0,0.9,142,19.6,1.4,23,,1.3V,,,"(2, 68)",SE OFF MIYAGI PREF,142.32666666666665,37.85,2010,6,253
1,20,50,55.5,0.4,37,53.8,1.0,142,22.6,1.9,23,3,1.5V,,,"(2, 68)",SE OFF MIYAGI PREF,142.37666666666667,37.89666666666667,2010,6,256
1,22,25,06.9,0.1,38,25.7,0.4,143,07.8,0.7,14,,1.8V,,,"(2, 64)",FAR E OFF MIYAGI PREF,143.13,38.428333333333335,2010,6,276
