Day,Hour,Minute,Second,Time +/-,LAT_D,LAT_M,LAT +/-,LONG_D,LONG_M,LONG +/-,Depth (KM),Depth +/-,Mag 1,Mag 2,MAX_INTENSITY,"(District, Region)",REGION NAME,LONG_DEC,LAT_DEC,Year,Month,Count
1,01,57,31.7,0.1,38,51.1,0.3,141,37.2,0.7,68,1,0.4V,,,"(2, 50)",NORTHERN MIYAGI PREF,141.62,38.85166666666667,2010,1,33
1,01,58,58.8,0.1,38,38.8,0.2,141,21.9,0.4,73,1,0.6V,,,"(2, 50)",NORTHERN MIYAGI PREF,141.365,38.64666666666667,2010,1,34
1,02,46,41.0,0.1,38,01.7,0.7,142,24.4,0.9,37,3,1.2v,,,"(2, 65)",E OFF MIYAGI PREF,142.40666666666667,38.028333333333336,2010,1,46
1,04,02,09.4,0.1,38,21.3,0.4,142,17.5,0.8,36,2,2.2V,,,"(2, 65)",E OFF MIYAGI PREF,142.29166666666666,38.355,2010,1,69
1,06,27,04.6,0.1,39,03.7,0.5,143,53.8,0.5,14,,2.3V,,,"(2, 63)",FAR E OFF SANRIKU,143.89666666666668,39.06166666666667,2010,1,103
1,06,52,56.9,0.1,37,52.7,0.2,141,34.4,0.5,80,1,2.6V,,,"(2, 68)",SE OFF MIYAGI PREF,141.57333333333332,37.87833333333333,2010,1,112
1,09,47,15.7,0.2,37,55.3,0.8,142,19.8,0.8,38,3,1.1V,,,"(2, 68)",SE OFF MIYAGI PREF,142.33,37.92166666666667,2010,1,153
1,13,08,54.3,0.2,37,45.7,0.5,142,17.2,1.2,33,3,2.3V,,,"(2, 68)",SE OFF MIYAGI PREF,142.28666666666666,37.76166666666667,2010,1,199
1,14,32,55.0,0.1,38,17.0,0.7,142,33.8,0.5,23,3,1.4V,,,"(2, 65)",E OFF MIYAGI PREF,142.56333333333333,38.28333333333333,2010,1,218
1,16,50,53.4,0.1,38,04.4,0.3,141,50.6,0.5,43,1,1.5V,,,"(2, 68)",SE OFF MIYAGI PREF,141.84333333333333,38.07333333333333,2010,1,250
1,20,07,06.9,0.0,39,05.1,0.1,141,55.6,0.3,59,1,2.6V,,,"(2, 62)",E OFF IWATE PREF,141.92666666666668,39.085,2010,1,289
